Kenteken,Voertuigsoort,Merk,Handelsbenaming,Vervaldatum APK,Eerste kleur,Zuinigheidslabel,Datum eerste toelating,WAM verzekerd
V215FS,Be,VOLKSWAGEN,TRANSPORTER,2021-02-05,N.v.t.,,2018,Ja
3XSL78,Pe,MINI,ONE,2022-10-23,ZWART,B,2014,Ja
9SRS47,Pe,TOYOTA,TOYOTA YARIS,2021-09-30,GROEN,A,2013,Ja
95SZXS,Pe,VOLVO,XC90 T6,2020-12-15,BLAUW,,2004,Ja
XX260T,Pe,BMW,730D,2021-04-05,ZWART,A,2015,Ja
JN348V,Pe,SKODA,SUPERB,2021-05-18,ZWART,B,2016,Ja
33SRT7,Pe,AUDI,AUDI Q3,2021-02-11,ZWART,D,2012,Ja
TK359N,Pe,FORD,FOCUS,2022-08-30,ZWART,,2018,Ja
G758GB,Pe,NISSAN,NISSAN QASHQAI,2023-09-20,ZWART,,2019,Ja
62VHV3,Be,MERCEDES-BENZ,639 VITO 111 CDI,2021-07-25,N.v.t.,,2007,Ja
V668TP,Be,VOLKSWAGEN,CRAFTER,2022-02-22,N.v.t.,,2019,Ja
62VHV3,Be,MERCEDES-BENZ,639 VITO 111 CDI,2021-07-25,N.v.t.,,2007,Ja
TL984J,Pe,MITSUBISHI,MITSUBISHI ASX,2022-03-20,BRUIN,B,2013,Ja
76NNDS,Pe,SEAT,AROSA,2020-12-13,ROOD,D,2003,Ja
BTHL46,Be,DAF,FAS CF85,2019-05-25,N.v.t.,,2007,Ja
66TFR3,Pe,BMW,X REIHE,2021-01-20,BRUIN,C,2012,Ja
JS248P,Pe,VOLVO,XC70,2021-03-18,BRUIN,B,2011,Ja
45KHT6,Pe,SUZUKI,ALTO,2021-11-27,GRIJS,B,2009,Ja
JR978S,Pe,HYUNDAI,I10,2022-06-16,BLAUW,B,2016,Ja
NS340X,Pe,KIA,VENGA,2021-05-31,GRIJS,D,2013,Ja
JS637S,Pe,MERCEDES-BENZ,CLA 200 D,2021-06-15,ZWART,D,2016,Ja
V007XD,Be,FORD,TRANSIT CUSTOM,2022-02-28,N.v.t.,,2019,Ja
ST767S,Pe,VOLKSWAGEN,UP!,2022-06-14,WIT,C,2018,Ja
RN475B,Pe,OPEL,KARL / VIVA,2022-01-12,GRIJS,B,2018,Ja
19THRB,Pe,JEEP,WRANGLER 4.0L,2021-11-02,ZWART,,1997,Ja
